nombre,Ciudad,Departamento,Pais,descripcion
Hel'arte Helados Fritos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Winpies,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante</span>"
Relax Wings,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante, Pub y bar</span>"
Barcelona,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>"
Finca hotel zona 7,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida, Cafetería, Coffee houses</span>"
Crokan Pollo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Randys Sports Bar & Grill,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Pub y bar, Restaurante</span>"
Mundo Verde,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
La Villa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante, Comida rápida</span>"
Líbano Pizza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante, Comida rápida</span>"
La Abuela Nita,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
"Pizza, Rush Pizzería, Domicilios, Rionegro",Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante, Pizzería</span>"
Olé,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Coma Y Vuelva,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Restaurante</span>"
Marinero´s Restaurant,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Supermercado Pepe Tiendas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Candilejas Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
El Rancho De Juanda Porvenir,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
El Punto Del Tamal,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
