nombre,Ciudad,Departamento,Pais,Descripcion,latitud,longitud
Tienda El Parche,Rionegro,Antioquia,Colombia, Restaurante,6.1350161,-75.3348513
Restaurante Ay Mara,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.156364,-75.370886
Restaurante chaoyang chino,Rionegro,Antioquia,Colombia, Restaurante,6.1575183,-75.3704574
Salsamentaria Belchite,Rionegro,Antioquia,Colombia, Restaurante,6.150677,-75.374661
Comidas Rápidas Alguitos,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.154774,-75.372276
Hamburguesas Y Comidas Carro Loco,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.157141,-75.375005
Restaurante Casa China,Rionegro,Antioquia,Colombia," China, Restaurante",6.156984,-75.3728865
J&C Delicias,Rionegro,Antioquia,Colombia, Restaurante,6.144837,-75.375085
EL CHATO ORIGINAL,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1598653,-75.3702002
Granero Candilejas,Rionegro,Antioquia,Colombia, Restaurante,6.154794,-75.365391
San Alitas Ribs & Wings,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.12956,-75.3799938
Casa China,Rionegro,Antioquia,Colombia," Restaurante, China",6.1473766,-75.3873938
Pisco y Marisco,Rionegro,Antioquia,Colombia," Marisco, Restaurante",6.1247006,-75.4229906
Gaira Cafe,Rionegro,Antioquia,Colombia," Café, Restaurante",6.1704263,-75.428111
BELLA PASTA El Italiano,Rionegro,Antioquia,Colombia," Restaurante, Italiana",6.125134,-75.4230838
kokoriko,Rionegro,Antioquia,Colombia, Restaurante,6.1535724,-75.3737365
Viena Buffet Restaurant,Rionegro,Antioquia,Colombia," Cafetería, Restaurante",6.1714277,-75.4275491
Comidas Rápidas Ricuras de La Pola,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.155253,-75.370772
Dogger,Rionegro,Antioquia,Colombia, Restaurante,6.1475,-75.3786111
Mingo's Catering 3108484850,Rionegro,Antioquia,Colombia, Restaurante,6.1259773,-75.4230971
So Happy,Rionegro,Antioquia,Colombia, Restaurante,6.1471325,-75.3779047
Go and enjoy sushi - Reserva Plaza,Rionegro,Antioquia,Colombia," Sushi, Restaurante",6.151134,-75.3928558
Guys Burger Joint,Rionegro,Antioquia,Colombia, Restaurante,6.1722033,-75.4276127
Pizza De Oriente,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1259314,-75.4190518
Las delicias de cachetes,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1316605,-75.4010468
Makalu Pizza y Cafe,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Café",6.1431393,-75.3726673
Palau,Rionegro,Antioquia,Colombia," Pub y bar, Barbacoa",6.1490942,-75.3681616
Lola Vinola - life&food,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1490188,-75.3789523
Taco Rico,Rionegro,Antioquia,Colombia," Mexicana, Restaurante, Comida rápida",6.1277559,-75.4164071
Duques pizzeria,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1303511,-75.381354
Paradisíaca Patacones Gourmet,Rionegro,Antioquia,Colombia, Restaurante,6.1475039,-75.3874694
PERU MIX San Nicolás,Rionegro,Antioquia,Colombia, Barbacoa,6.147104,-75.3783109
Rapidos y jugosos,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1480982,-75.3864199
Bariguaná,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa, Pub y bar",6.1491318,-75.3679451
FUSIÓN Café Restaurante,Rionegro,Antioquia,Colombia," Restaurante, Café",6.1483098,-75.3868473
Circuit Bar,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.1290326,-75.3810064
Restaurante Donde Julio Carnes Mar y Vinos,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa, Pub y bar",6.1490188,-75.3789523
Chorizos Santarrosanos CHORY,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida, Barbacoa",6.1277363,-75.3821463
Viva Mexico,Rionegro,Antioquia,Colombia," Mexicana, Restaurante",6.1726186,-75.3408729
La Martina Alitas Y Costillas,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1289013,-75.3810975
Restaurante Amor a la Carta,Rionegro,Antioquia,Colombia, Restaurante,6.1560749,-75.3727751
Comidas Chaplin Sa,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.160535,-75.369035
Restaurante Orzo,Rionegro,Antioquia,Colombia," Marisco, Restaurante",6.1244352,-75.423408
"RioPizza ""home delivery""",Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Comida rápida",6.1298137,-75.3814526
Restaurante la comelona,Rionegro,Antioquia,Colombia, Restaurante,6.1532175,-75.3740357
El Tablon,Rionegro,Antioquia,Colombia, Restaurante,6.1309265,-75.3795737
